Iteration,Number,Feature,StoryPoints,Days,Comment,Result
Iteration 0,1,Agent domain model,2,1,Core entities and invariants,done
Iteration 0,2,Execution modes (Manual/Auto),2,1,Stop conditions included,done
Iteration 0,3,Failure modes definition,1,0.5,Formalized error taxonomy,done
Iteration 0,4,Core interfaces contracts,2,1,LLM/Coverage/Runner,done
Iteration 0,5,Hard constraints enforcement,1,0.5,No-hallucination guardrails,done

Iteration 1,6,JaCoCo XML parser (Maven),2,1,Default path support,done
Iteration 1,7,JaCoCo XML parser (Gradle),2,1,Default path support,done
Iteration 1,8,Coverage snapshot model,1,0.5,Immutable model,done
Iteration 1,9,Weakest class selection policy,2,1,Pluggable strategy,done
Iteration 1,10,Exclusion rules support,1,0.5,Packages/classes,done

Iteration 2,11,Maven test runner,2,1,Process runner,done
Iteration 2,12,Gradle test runner,2,1,Process runner,done
Iteration 2,13,Test execution result model,1,0.5,Exit codes + output,done
Iteration 2,14,Failure extraction,2,1,Stacktrace parsing,done
Iteration 2,15,Stagnation detection,1,0.5,Coverage delta logic,done

Iteration 3,16,LLM client abstraction,1,0.5,Unified interface,done
Iteration 3,17,Ollama provider,2,1,Deterministic config,done
Iteration 3,18,Prompt contract schema,2,1,Strict format,done
Iteration 3,19,Structured output validation,2,1,JSON schema,done
Iteration 3,20,Fix-test loop,2,1,Retry with error context,done

Iteration 4,21,Plugin settings UI,2,1,Agent/Coverage/LLM,done
Iteration 4,22,Tool window UI,2,1,Status + logs,done
Iteration 4,23,Manual approval flow,2,1,Diff & accept/reject
Iteration 4,24,Run/Stop actions,1,0.5,IDE actions
Iteration 4,25,Progress visualization,1,0.5,Iteration feedback

Iteration 5,26,Provider switching mechanism,2,1,Strategy pattern
Iteration 5,27,OpenAI provider,2,1,API integration
Iteration 5,28,GigaChat provider,2,1,API integration
Iteration 5,29,Secrets handling,1,0.5,IDE secure storage
Iteration 5,30,Provider validation,1,0.5,Compatibility checks

Iteration 6,31,MCP decision adapter,2,1,Read-only MCP
Iteration 6,32,Rule vs LLM comparison,1,0.5,Decision analysis
Iteration 6,33,MCP integration safety,1,0.5,No side effects
Iteration 6,34,Decision logs & metrics,1,0.5,Evaluation only
